Category,Feedback,Date
UX,프로젝트 폴더 내 채팅창 자동 연동 미작동 - UX 기만 요소,2025-06-18
UX,사용자가 보기에는 프로젝트로 묶여있지만 백엔드에서 실제 매핑되지 않음,2025-06-18
UX,이미지 OCR 인식률 낮음 - 폰트 식별 정확도 떨어짐,2025-06-18
UX,프로젝트 대화 연결 맥락 유지 안 됨 - 대화 흐름 단절,2025-06-18
UX,사용자 피드백 기반 기능 개선 제안 반영 없음,2025-06-18
UX,7월 보상 이벤트에 사용자 피드백 반영 요청,2025-06-18
UX,프로젝트 간 정보 호출 비연동 구조는 UX 결함,2025-06-18
UX,백엔드 구조적 허점 존재 - 실제 기능 연결 미흡,2025-06-18
Architecture,실제 채팅 구조가 프로젝트 ID 기반이 아닌 단순 대화 세션 기반으로 작동함,2025-06-18
Architecture,백엔드와 프론트 간 시각적 일치와 기능적 일치 불일치,2025-06-18
Architecture,OCR/비전 기반 텍스트 추출이 완전하지 않아 이미지 분석 기능 한계 존재,2025-06-18
Architecture,세션 메모리 전이 기능 없음 - 프로젝트 간 연결성 유지 필요,2025-06-18
